Namespace(alpha=0.2, batch_size=2048, beta=0.3, dataset='AMusic', decay=0.0001, early_stop=50, emb_size=64, epochs=1000, gpu_id=1, initilizer='normal', layer=4, lr=0.001, seed=2022, self_loop=0, task='train', top_H=4, topks='[10, 20]')
EPOCH 91/1000 [0.31s], loss: 0.05184
EPOCH 92/1000 [0.24s], loss: 0.05127
EPOCH 93/1000 [0.25s], loss: 0.05261
EPOCH 94/1000 [0.26s], loss: 0.05065
EPOCH 95/1000 [0.25s], loss: 0.05212
EPOCH 96/1000 [0.23s], loss: 0.05275
EPOCH 97/1000 [0.25s], loss: 0.05107
EPOCH 98/1000 [0.23s], loss: 0.05147
EPOCH 99/1000 [0.19s], loss: 0.04868
EPOCH 100/1000 [0.25s], loss: 0.05071
[TEST 0.33s], {'precision': [0.04356614, 0.03299043], 'recall': [0.18408804, 0.27493912], 'ndcg': [0.12826779, 0.15631439]}
EPOCH 101/1000 [0.32s], loss: 0.04950
EPOCH 102/1000 [0.23s], loss: 0.04863
EPOCH 103/1000 [0.26s], loss: 0.04903
EPOCH 104/1000 [0.25s], loss: 0.04725
EPOCH 105/1000 [0.26s], loss: 0.04811
EPOCH 106/1000 [0.26s], loss: 0.04889
EPOCH 107/1000 [0.26s], loss: 0.04966
EPOCH 108/1000 [0.26s], loss: 0.04617
EPOCH 109/1000 [0.25s], loss: 0.04698
EPOCH 110/1000 [0.26s], loss: 0.04702
[TEST 0.34s], {'precision': [0.04425194, 0.03377549], 'recall': [0.1874236 , 0.28081516], 'ndcg': [0.13101   , 0.15991257]}
EPOCH 111/1000 [0.36s], loss: 0.04516
EPOCH 112/1000 [0.25s], loss: 0.04625
EPOCH 113/1000 [0.25s], loss: 0.04512
EPOCH 114/1000 [0.25s], loss: 0.04521
EPOCH 115/1000 [0.25s], loss: 0.04322
EPOCH 116/1000 [0.25s], loss: 0.04658
EPOCH 117/1000 [0.25s], loss: 0.04492
EPOCH 118/1000 [0.25s], loss: 0.04374
EPOCH 119/1000 [0.23s], loss: 0.04285
EPOCH 120/1000 [0.25s], loss: 0.04327
[TEST 0.35s], {'precision': [0.04540697, 0.03419058], 'recall': [0.19308994, 0.28443497], 'ndcg': [0.13470851, 0.1630141 ]}
EPOCH 121/1000 [0.32s], loss: 0.04130
